,Airline Name,Date of journey,Source,Destination,Departure Time,Arrival Time,Duration,Total Stops,Price
129,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,12:15,19:35,7h 20m,2 Stop(s),19856
130,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,12:15,22:45,10h 30m,2 Stop(s),19856
131,SpiceJet,"Tue, 23 Nov",Mumbai,Kolkata,6:15,8:55,2h 40m,Non Stop,4326
132,SpiceJet,"Tue, 23 Nov",Mumbai,Kolkata,18:40,21:25,2h 45m,Non Stop,4326
133,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,2:35,8:05,5h 30m,1 Stop,7409
134,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,13:05,19:20,6h 15m,2 Stop(s),7409
135,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,13:05,21:05,8h 00m,1 Stop,7409
136,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,22:55,"07:10
+ 1 day",8h 15m,1 Stop,7409
137,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,14:55,"01:35
+ 1 day",10h 40m,2 Stop(s),7409
138,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,21:20,"08:05
+ 1 day",10h 45m,1 Stop,7409
139,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,7:20,19:15,11h 55m,1 Stop,7409
140,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,13:05,"01:25
+ 1 day",12h 20m,1 Stop,7409
141,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,13:05,"01:35
+ 1 day",12h 30m,1 Stop,7409
142,Air Asia,"Tue, 23 Nov",Mumbai,Kolkata,7:20,23:10,15h 50m,1 Stop,7409
143,Go First,"Tue, 23 Nov",Mumbai,Kolkata,5:00,7:30,2h 30m,Non Stop,7412
144,Go First,"Tue, 23 Nov",Mumbai,Kolkata,21:00,23:50,2h 50m,Non Stop,7412
145,Go First,"Tue, 23 Nov",Mumbai,Kolkata,5:45,11:35,5h 50m,1 Stop,7412
146,Go First,"Tue, 23 Nov",Mumbai,Kolkata,14:35,22:20,7h 45m,1 Stop,7412
147,Go First,"Tue, 23 Nov",Mumbai,Kolkata,22:40,"08:20
+ 1 day",9h 40m,1 Stop,7412
148,Go First,"Tue, 23 Nov",Mumbai,Kolkata,6:05,16:30,10h 25m,1 Stop,7412
149,Go First,"Tue, 23 Nov",Mumbai,Kolkata,19:15,"08:20
+ 1 day",13h 05m,1 Stop,7412
150,SpiceJet,"Tue, 23 Nov",Mumbai,Kolkata,6:00,20:50,14h 50m,1 Stop,7412
151,SpiceJet,"Tue, 23 Nov",Mumbai,Kolkata,13:50,"17:45
+ 1 day",27h 55m,1 Stop,7412
152,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,21:20,23:45,2h 25m,Non Stop,7413
153,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,0:30,3:00,2h 30m,Non Stop,7413
154,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,17:40,20:10,2h 30m,Non Stop,7413
155,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,7:05,9:45,2h 40m,Non Stop,7413
156,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,7:35,10:15,2h 40m,Non Stop,7413
157,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,12:55,15:35,2h 40m,Non Stop,7413
158,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,17:15,19:55,2h 40m,Non Stop,7413
159,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,6:30,9:25,2h 55m,Non Stop,7413
160,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,14:00,16:55,2h 55m,Non Stop,7413
161,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,18:30,"00:30
+ 1 day",6h 00m,1 Stop,7413
162,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,12:45,19:15,6h 30m,1 Stop,7413
163,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,15:05,22:45,7h 40m,1 Stop,7413
164,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,11:10,19:40,8h 30m,1 Stop,7413
165,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,21:35,"07:25
+ 1 day",9h 50m,1 Stop,7413
166,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,19:55,"06:05
+ 1 day",10h 10m,1 Stop,7413
167,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,11:10,21:50,10h 40m,1 Stop,7413
168,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,18:30,"06:05
+ 1 day",11h 35m,1 Stop,7413
169,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,12:45,"00:30
+ 1 day",11h 45m,1 Stop,7413
170,Air India,"Tue, 23 Nov",Mumbai,Kolkata,6:10,8:50,2h 40m,Non Stop,8253
171,Air India,"Tue, 23 Nov",Mumbai,Kolkata,20:30,23:15,2h 45m,Non Stop,8778
172,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,6:15,13:20,7h 05m,1 Stop,9093
173,Air India,"Tue, 23 Nov",Mumbai,Kolkata,20:15,"08:05
+ 1 day",11h 50m,1 Stop,9247
